Channel_0,Channel_1
233.1543,216.6748
222.16797,222.77832
229.49219,216.6748
222.16797,220.33691
227.05078,228.27148
239.25781,233.76465
241.08887,229.49219
241.08887,229.49219
238.64746,219.11621
231.32324,216.6748
225.21973,219.11621
225.83008,219.72656
220.94727,219.72656
218.50586,213.0127
219.72656,221.55762
208.74023,217.28516
212.40234,222.77832
204.46777,213.62305
206.90918,217.89551
203.85742,218.50586
209.35059,225.21973
213.0127,227.05078
213.0127,230.10254
229.49219,227.66113
220.94727,223.99902
218.50586,230.10254
219.72656,222.16797
217.28516,223.38867
221.55762,219.72656
219.11621,220.33691
217.89551,217.28516
212.40234,225.21973
208.74023,216.6748
216.06445,228.27148
209.35059,223.99902
208.74023,224.60938
205.68848,225.83008
205.68848,216.6748
206.29883,234.375
211.79199,236.8164
223.99902,230.71289
216.06445,235.5957
223.38867,234.98535
216.6748,227.66113
220.33691,225.83008
217.89551,225.21973
211.79199,217.89551
217.28516,227.66113
213.0127,221.55762
208.74023,227.05078
213.62305,221.55762
209.96094,226.44043
211.18164,223.38867
214.2334,227.66113
203.24707,222.77832
214.84375,231.32324
218.50586,227.66113
212.40234,243.53027
222.16797,234.98535
214.84375,239.86816
225.83008,227.05078
216.6748,231.32324
217.89551,233.1543
212.40234,226.44043
209.96094,231.9336
209.96094,228.27148
214.2334,230.71289
214.2334,230.10254
214.2334,231.9336
210.57129,226.44043
212.40234,222.16797
214.84375,223.99902
216.06445,218.50586
209.96094,237.42676
213.0127,231.32324
225.21973,233.1543
231.32324,232.54395
230.10254,228.27148
224.60938,233.1543
225.83008,221.55762
216.6748,222.77832
211.79199,221.55762
209.35059,224.60938
212.40234,225.21973
215.4541,224.60938
210.57129,224.60938
214.84375,227.66113
209.96094,225.83008
214.84375,227.66113
208.12988,224.60938
217.89551,233.1543
214.2334,236.20605
223.38867,233.76465
231.32324,229.49219
225.83008,241.08887
227.66113,231.32324
222.16797,227.66113
220.33691,232.54395
221.55762,225.83008
218.50586,233.76465
217.28516,220.94727
220.94727,226.44043
214.2334,225.83008
223.99902,230.10254
217.28516,223.99902
217.89551,222.77832
216.6748,223.38867
209.96094,223.38867
225.83008,233.1543
219.72656,234.375
226.44043,241.08887
229.49219,233.1543
231.9336,239.86816
225.21973,233.76465
229.49219,231.9336
222.16797,231.32324
223.99902,223.38867
231.9336,226.44043
217.89551,229.49219
230.10254,228.27148
222.16797,225.21973
225.21973,230.71289
221.55762,225.21973
223.99902,224.60938
216.6748,219.11621
222.16797,231.32324
217.89551,236.8164
227.66113,242.30957
230.10254,233.76465
233.76465,235.5957
236.20605,231.32324
227.05078,238.03711
231.9336,231.9336
227.66113,224.60938
222.16797,230.71289
226.44043,231.32324
217.89551,231.32324
217.28516,226.44043
222.77832,223.99902
213.62305,225.21973
219.72656,230.10254
218.50586,228.27148
211.79199,234.375
217.28516,239.25781
217.28516,247.80273
231.9336,247.19238
231.9336,240.47852
236.8164,243.53027
233.1543,230.10254
227.66113,234.98535
223.99902,230.71289
225.21973,236.8164
229.49219,235.5957
221.55762,227.66113
231.32324,228.27148
218.50586,230.10254
228.27148,223.38867
219.72656,228.27148
222.16797,230.10254
222.16797,231.9336
225.21973,241.08887
225.83008,239.86816
227.05078,240.47852
234.98535,241.08887
233.76465,234.98535
240.47852,234.98535
227.05078,228.27148
227.66113,231.9336
222.77832,225.21973
227.66113,224.60938
223.38867,227.05078
227.05078,225.21973
226.44043,228.27148
232.54395,219.72656
220.94727,218.50586
219.11621,225.21973
221.55762,224.60938
217.89551,231.9336
227.05078,233.1543
222.16797,239.25781
238.03711,241.08887
225.83008,236.20605
229.49219,230.10254
222.16797,230.71289
223.38867,236.20605
220.94727,225.83008
221.55762,231.32324
220.33691,231.9336
222.77832,224.60938
222.77832,228.27148
